Date,Adj Close,Rets,Adjusted Returns,Returns,,,,,,
2018-08-12,6316.01,1.29%,22.58%,1.253334333,,,,,0.39894228,0.418889394
2018-08-13,6253.67,-0.99%,-28.02%,0.75567033,,,,,0.39894228,0.418889394
2018-08-14,6195.01,-0.94%,-26.93%,0.763943362,,,,,0.39894228,0.418889394
2018-08-15,6269.01,1.19%,20.46%,1.226973843,,,,,0.39894228,0.418889394
2018-08-16,6315.90,0.75%,10.53%,1.11108338,,,,,0.39894228,0.418889394
2018-08-17,6585.49,4.27%,88.75%,2.429119418,,,,,0.39894228,0.418889394
2018-08-18,6396.64,-2.87%,-69.80%,0.497578589,,,,,0.39894228,0.418889394
2018-08-19,6489.53,1.45%,26.18%,1.299264884,,,,,0.39894228,0.418889394
2018-08-20,6258.74,-3.56%,-85.10%,0.426981426,,,,,0.39894228,0.418889394
2018-08-21,6475.89,3.47%,71.00%,2.034050079,,,,,0.39894228,0.418889394
2018-08-22,6359.99,-1.79%,-45.85%,0.632232885,,,,,0.39894228,0.418889394
2018-08-23,6526.36,2.62%,52.04%,1.682630228,,,,,0.39894228,0.418889394
2018-08-24,6690.88,2.52%,49.92%,1.647475037,,,,,0.39894228,0.418889394
2018-08-25,6737.52,0.70%,9.40%,1.098589512,,,,,0.39894228,0.418889394
2018-08-26,6709.98,-0.41%,-15.17%,0.859272002,,,,,0.39894228,0.418889394
2018-08-27,6911.90,3.01%,60.78%,1.83630903,,,,,0.39894228,0.418889394
2018-08-28,7071.01,2.30%,45.06%,1.569271788,,,,,0.39894228,0.418889394
2018-08-29,7030.90,-0.57%,-18.69%,0.829540161,,,,,0.39894228,0.418889394
2018-08-30,6983.00,-0.68%,-21.22%,0.808786717,,,,,0.39894228,0.418889394
2018-08-31,7015.01,0.46%,4.10%,1.041850545,,,,,0.39894228,0.418889394
2018-09-01,7191.08,2.51%,49.68%,1.643471688,,,,,0.39894228,0.418889394
2018-09-02,7295.00,1.45%,26.02%,1.297232762,,,,,0.39894228,0.418889394
2018-09-03,7256.98,-0.52%,-17.66%,0.838074376,,,,,0.39894228,0.418889394
2018-09-04,7360.00,1.42%,25.46%,1.289896674,,,,,0.39894228,0.418889394
2018-09-05,6687.96,-9.13%,-208.96%,0.123735181,,,,,0.39894228,0.418889394
2018-09-06,6495.00,-2.89%,-70.19%,0.495645824,,,,,0.39894228,0.418889394
2018-09-07,6395.01,-1.54%,-40.29%,0.668377792,,,,,0.39894228,0.418889394
2018-09-08,6188.00,-3.24%,-78.01%,0.458372184,,,,,0.39894228,0.418889394
2018-09-09,6235.01,0.76%,10.79%,1.113983184,,,,,0.39894228,0.418889394
2018-09-10,6300.00,1.04%,17.07%,1.186183588,,,,,0.39894228,0.418889394
2018-09-11,6282.53,-0.28%,-12.25%,0.884738911,,,,,0.39894228,0.418889394
